phone_number,name,full_address,latitude,longitude,review_count,rating,website,types,city,verified,country,country_corrected,open_info,cluster_type,distance_to_centroid
0,Hotel am Kornmarkt GmbH,1,50.116323,8.694879799999999,32.0,4.4,0,Hotel,Frankfurt,False,Germany,Germany,0,132,0.3012527911416683
1,Amusement park TERRALTITUDE,1,49.9898746,4.699309,606.0,4.6,1,"Amusement park, Tourist attraction",Fumay,True,France,France,0,22,0.3689963171812677
1,Trust E Store Dubai,1,25.2749804,55.3191718,2.0,5.0,1,Electronics store,Dubai,True,United Arab Emirates,United Arab Emirates,1,17,0.29326849123715953
1,The Bristol Inn Hotel,1,25.2735189,55.3227766,87.0,3.9,1,Hotel,Dubai,True,United Arab Emirates,United Arab Emirates,0,132,0.29326415290551044
1,Magic Planet City Centre Al Zahia,1,25.3158661,55.4544738,198.0,4.2,1,"Amusement park, Amusement center, Children's amusement center, Video arcade",Sharjah,True,United Arab Emirates,United Arab Emirates,1,22,0.2946978419162134
0,chrstmas cafe,1,23.424076,53.847818,5.0,4.2,0,Restaurant,Abu Dhabi,False,United Arab Emirates,United Arab Emirates,0,426,0.25490431846889366
1,Shark Lagoon,1,33.7611245,-118.1971618,8.0,5.0,1,Aquarium,Long Beach,False,CA,USA,0,84,1.6033614006808443
1,Al Jowder Flowers,1,25.2630683,55.3383951,16.0,4.9,1,Florist,Dubai,True,United Arab Emirates,United Arab Emirates,1,223,0.293177361154714
1,American Academy of Cosmetic Surgery Hospital,1,25.2326705,55.3195453,420.0,4.6,1,"Hospital, Dermatologist, Laser hair removal service, Medical Center, Oral and maxillofacial surgeon, Plastic surgeon, Urology clinic, Weight loss service",Dubai,True,United Arab Emirates,United Arab Emirates,1,7,0.2925699467301171
1,sajaa sharjah,1,25.2965634,55.6243439,2.0,4.5,0,Tire shop,Sharjah,False,United Arab Emirates,United Arab Emirates,1,290,0.295348280802005
1,Walmart Supercenter,1,36.2759486,-80.8325888,1000.0,4.0,1,"Clothing store, Bakery, Department store, Electronics store, Furniture store, Grocery store, Hardware store, Home goods store, Sporting goods store, Toy store",Elkin,True,NC,USA,1,418,0.9622161415448311
